ticker,company,sector,screening_date,screening_price_inr,later_price_inr,later_date,approx_multiple,red_flag_reason,notes_source
YESBANK.NS,Yes Bank,Financials,2018,404,16,2020,~-96%,Hidden/under-provisioned NPAs + aggressive lending + governance failure (Rana Kapoor) + AT1 write-off + RBI moratorium,"Lifetime high ~Rs404 (Aug-2018) to ~Rs16 (Mar-2020); ET. Bank - red flags are asset-quality/governance, not Altman."
RCOM.NS,Reliance Communications,Communication Services,2010,180,2,2019,~-99%,Crushing debt (~Rs40000 cr) + telecom price war (Jio) + fund diversion (SBI fraud tag) + insolvency 2019,"Peaked ~2008 then long decline; adjusted ~Rs180 (2010) collapsing to low single digits; Reuters/ET. In CIRP since 2019."
SUZLON.NS,Suzlon Energy,Industrials,2010,80,2,2020,~-97%,Debt-funded overseas M&A (REpower) + FCCB overhang + persistent cash burn + heavy equity dilution,"Peak ~Rs450 (2008); adjusted decline to ~Rs1.5-2 (2020); biz-day. Structural cash burn + leverage vetoes."
RPOWER.NS,Reliance Power,Utilities,2010,200,3,2020,~-98%,Overhyped IPO with no operating cash flows + project delays + debt + ADA-group governance,"IPO 2008 ~Rs450 band then persistent destruction; ADA group. Perception-only, negative FCF."
RELINFRA.NS,Reliance Infrastructure,Utilities,2010,1000,40,2020,~-96%,ADA-group leverage + fund diversion + governance + project/receivable stress,"Peak ~Rs2600 (2008); collapse to low double digits; finshots/Inventiva."
RELCAPITAL.NS,Reliance Capital,Financials,2010,800,10,2021,~-99% (delisted/CIRP),Evergreening + fund diversion (Grant Thornton forensic) + NBFC crisis + auditor (PwC) resignation + bankruptcy,"Peak ~Rs2800 (2008); auditor resigned 2019; RBI-driven insolvency; equity wiped. DELISTED/SUSPENDED - yfinance likely returns nothing (survivorship note)."
DHFL.NS,Dewan Housing Finance,Financials,2018,690,10,2021,~-100% (delisted),Alleged fraud (Cobrapost) + ALM mismatch + IL&FS contagion + defaults + delisting; shareholders wiped,"Peak ~Rs690 (2018) to delisting Jun-2021; finshots/biz-day. DELISTED - yfinance likely returns nothing."
IDEA.NS,Vodafone Idea,Communication Services,2017,100,10,2023,~-90%,AGR dues + unsustainable debt + Jio-led price war + subscriber loss + chronic cash burn,"Biggest 2018-2023 wealth destroyer (~Rs1.34 lakh cr, Motilal Oswal). Peak ~Rs100+ (2017)."
IBULHSGFIN.NS,Indiabulls Housing Finance,Financials,2018,1300,150,2023,~-85%,NBFC liquidity crunch + ALM stress + governance/allegation overhang after IL&FS shock,"Top-5 wealth destroyer 2018-2023 (Motilal Oswal). Peak ~Rs1300 (2018)."
DISHTV.NS,Dish TV India,Communication Services,2017,100,15,2023,~-85%,Technological obsolescence (OTT/cord-cutting) + debt + promoter (Essel/Zee) pledge + governance dispute,"DTH structural decline; promoter-pledge and obsolescence red flags."
HATHWAY.NS,Hathway Cable & Datacom,Communication Services,2017,45,15,2023,~-70%,Cable-TV obsolescence + weak FCF + debt; structurally challenged distribution model,"Sector-risk/obsolescence example alongside Den/Siti."
VAKRANGEE.NS,Vakrangee,Information Technology,2018,515,30,2020,~-94%,Auditor (PwC) resignation + governance/price-manipulation concerns + implausible business claims,"Peak ~Rs515 (Jan-2018) to ~Rs30; classic AUDITOR RED-FLAG (RF7) + perception-only case (was in ACE +8622% list before collapse)."
MANPASAND.NS,Manpasand Beverages,Consumer Staples,2018,500,50,2019,~-90% (delisted),Auditor (Deloitte then Mehra Goel) resignation + GST fraud arrests + suspected fictitious revenue,"Peak ~Rs500 (2018); auditor exit then collapse; DELISTED. Textbook auditor + earnings-quality veto."
GITANJALI.NS,Gitanjali Gems,Consumer Discretionary,2012,600,3,2018,~-100% (delisted),PNB LoU fraud (~USD 2bn, Mehul Choksi) + fictitious accounts + liquidation,"Peak ~Rs600 (2012); NCLT liquidation 2018; equity wiped. DELISTED - fraud/earnings-quality veto."
JETAIRWAYS.NS,Jet Airways,Industrials,2018,450,30,2019,~-95% (suspended),Unsustainable debt (~Rs8000+ cr) + chronic cash burn + failed rescue + grounded + insolvency,"Grounded Apr-2019; SUSPENDED/near-delisted. Structural cash-burn + distress vetoes."
KFA.NS,Kingfisher Airlines,Industrials,2010,300,1,2015,~-100% (delisted),Debt + chronic losses/cash burn + willful-default (Vijay Mallya) + delisting 2015,"Peak ~Rs300+ (2007); delisted 2015; equity wiped. DELISTED - yfinance will not fetch (survivorship illustration)."
