ticker,company,sector,screening_date,screening_anchor,as_of_price,price_date,csv_screening_price,csv_approx_multiple,fwd_mult_later,fwd_mult_+3y,fwd_mult_+5y,fwd_mult_last,last_price_date,is_financial,manual_tier_c,A_usable_periods,A_verdict,A_vetoes,A_detail,B_fin_status,B_usable_periods,B_composite,B_verdict,B_vetoes,B_soft_flags,B_detail,B_roce,B_altman_z,B_fcf_posrate,B_ocf_np
YESBANK.NS,Yes Bank,Financials,2018,2018-01-01,305.94,2018-01-01,404,~-96%,0.06,0.06,0.07,0.08,2026-06-29,True,,0,INDETERMINATE,,financial: insufficient ROE history,ok,5,0.464,REJECTED,,,failed quality gate: ROE=0.07(lo); g=0.23,,,0.75,1.43
RCOM.NS,Reliance Communications,Communication Services,2010,2010-01-01,172.1,2010-01-04,180,~-99%,0.01,0.47,0.47,0.01,2026-06-29,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),ok,5,,REJECTED,"RF4 Altman Z""=-16.71 < 1.1; RF7 auditor red flag (manual/news)",,"vetoed: RF4 Altman Z""=-16.71 < 1.1; RF7 auditor red flag (manual/news)",0.004,-16.71,,
SUZLON.NS,Suzlon Energy,Industrials,2010,2010-01-01,82.5,2010-01-04,80,~-97%,0.07,0.2,0.17,0.69,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,,REJECTED,RF2 earnings not cash-backed: cumCFO/cumNP=0.33 < 0.5; RF3 Beneish M=-1.39 > -1.78,,vetoed: RF2 earnings not cash-backed: cumCFO/cumNP=0.33 < 0.5; RF3 Beneish M=-1.39 > -1.78,0.27,7.18,0.75,0.33
RPOWER.NS,Reliance Power,Utilities,2010,2010-01-01,152.88,2010-01-04,200,~-98%,0.02,0.62,0.41,0.16,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.384,REJECTED,,,failed quality gate: ROCE=0.05(lo); fcf+=1.00; CFO/NP=523.19; Z=3.3,0.049,3.3,1.0,523.19
RELINFRA.NS,Reliance Infrastructure,Utilities,2010,2010-01-01,1012.4,2010-01-04,1000,~-96%,0.03,0.48,0.47,0.07,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.346,MISSED,,,passed screen (false negative): ROCE=0.15(ok); fcf+=1.00; CFO/NP=4.58; Z=1.9,0.155,1.92,1.0,4.58
RELCAPITAL.NS,Reliance Capital,Financials,2010,2010-01-01,645.68,2010-01-04,800,~-99% (delisted/CIRP),0.02,0.59,0.62,0.02,2025-02-11,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),failed,0,,REJECTED,RF7 auditor red flag (manual/news),,vetoed: RF7 auditor red flag (manual/news),,,,
DHFL.NS,Dewan Housing Finance,Financials,2018,2018-01-01,,,690,~-100% (delisted),,,,,,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),failed,0,,REJECTED,RF7 auditor red flag (manual/news),,vetoed: RF7 auditor red flag (manual/news),,,,
IDEA.NS,Vodafone Idea,Communication Services,2017,2017-01-01,45.19,2017-01-02,100,~-90%,0.35,0.13,0.34,0.32,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,,REJECTED,RF3 Beneish M=-1.72 > -1.78,,vetoed: RF3 Beneish M=-1.72 > -1.78,0.369,4.44,0.75,
IBULHSGFIN.NS,Indiabulls Housing Finance,Financials,2018,2018-01-01,,,1300,~-85%,,,,,,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,failed,0,0.5,INDETERMINATE,,,non-fin: insufficient ROCE history,,,,
DISHTV.NS,Dish TV India,Communication Services,2017,2017-01-01,83.82,2017-01-02,100,~-85%,0.22,0.16,0.21,0.04,2026-06-29,False,promoter_pledge_pct=88.0,0,REJECTED,RF6 promoter pledge 88% > 50%,vetoed: RF6 promoter pledge 88% > 50%,ok,5,,REJECTED,"RF4 Altman Z""=-19.40 < 1.1; RF6 promoter pledge 88% > 50%",,"vetoed: RF4 Altman Z""=-19.40 < 1.1; RF6 promoter pledge 88% > 50%",0.133,-19.4,0.75,
HATHWAY.NS,Hathway Cable & Datacom,Communication Services,2017,2017-01-01,35.8,2017-01-02,45,~-70%,0.59,0.55,0.61,0.31,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.474,REJECTED,,,failed quality gate: ROCE=0.03(lo); fcf+=0.75; CFO/NP=1.58; Z=12.6,0.025,12.57,0.75,1.58
VAKRANGEE.NS,Vakrangee,Information Technology,2018,2018-01-01,377.95,2018-01-01,515,~-94%,0.17,0.16,0.07,0.02,2026-06-29,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),ok,5,,REJECTED,RF7 auditor red flag (manual/news),,vetoed: RF7 auditor red flag (manual/news),0.068,7.27,0.5,1.38
MANPASAND.NS,Manpasand Beverages,Consumer Staples,2018,2018-01-01,438.89,2018-01-01,500,~-90% (delisted),0.03,0.01,0.01,0.01,2025-08-04,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),failed,0,,REJECTED,RF7 auditor red flag (manual/news),,vetoed: RF7 auditor red flag (manual/news),,,,
GITANJALI.NS,Gitanjali Gems,Consumer Discretionary,2012,2012-01-01,289.77,2012-01-02,600,~-100% (delisted),0.0,0.19,0.2,0.0,2026-06-29,False,auditor_red_flag=True,0,REJECTED,RF7 auditor red flag (manual/news),vetoed: RF7 auditor red flag (manual/news),failed,0,,REJECTED,RF7 auditor red flag (manual/news),,vetoed: RF7 auditor red flag (manual/news),,,,
JETAIRWAYS.NS,Jet Airways,Industrials,2018,2018-01-01,841.75,2018-01-01,450,~-95% (suspended),0.03,0.15,0.08,0.04,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,shallow,2,,REJECTED,"RF4 Altman Z""=-21.22 < 1.1; RF5 insolvency risk: interest coverage=-233.13 < 1.5 and debt rising",,"vetoed: RF4 Altman Z""=-21.22 < 1.1; RF5 insolvency risk: interest coverage=-233.13 < 1.5 and debt rising",0.06,-21.22,1.0,
KFA.NS,Kingfisher Airlines,Industrials,2010,2010-01-01,65.55,2010-01-04,300,~-100% (delisted),0.02,0.22,0.02,0.02,2018-05-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,failed,0,0.5,INDETERMINATE,,,non-fin: insufficient ROCE history,,,,
