ticker,yahoo_symbol,company,sector,entry_date,entry_price,price_3y,mult_3y,price_5y,mult_5y,peak_price_5y,peak_mult_5y,holding_years_available,label,data_source,verified,notes
EICHERMOT,EICHERMOT.NS,Eicher Motors,Auto,2011-01-01,110.493,457.2954,4.139,1610.2299,14.573,1978.9332,17.91,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Royal Enfield turnaround; ground_truth; entry~2010-12-31; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BOSCHLTD,BOSCHLTD.NS,Bosch,Auto,2012-01-01,5950.3237,17482.3848,2.938,19047.4922,3.201,24847.7539,4.176,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=control; discovery=MNC auto modest; entry~2012-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
MRF,MRF.NS,MRF,Auto,2012-01-01,6781.8745,37280.5664,5.497,48278.457,7.119,53198.5078,7.844,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=tyre compounder; entry~2012-01-02; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BALKRISIND,BALKRISIND.NS,Balkrishna Industries,Auto,2013-01-01,131.6701,295.4305,2.244,1106.786,8.406,1161.4563,8.821,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=OTR tyre exporter; ground_truth; entry~2013-01-01; hist 2006-01-27..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
MARUTI,MARUTI.NS,Maruti Suzuki,Auto,2013-01-01,1360.5745,4235.0757,3.113,8962.4941,6.587,9101.4092,6.689,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=passenger-car leader re-rating; entry~2013-01-01; hist 2003-07-09..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
MOTHERSON,MOTHERSON.NS,Samvardhana Motherson,Auto,2013-01-01,9.0828,31.723,3.493,62.354,6.865,64.5499,7.107,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=auto-ancillary global roll-up; entry~2013-01-01; hist 2002-08-28..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
BHARATFORG,BHARATFORG.NS,Bharat Forge,Auto,2014-01-01,149.3948,422.5084,2.828,484.9262,3.246,743.4515,4.976,5.0,multibagger,yfinance (auto_adjust=splits+dividends),True,role=control; discovery=cyclical forging; entry~2014-01-01; hist 1996-01-01..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=3x within window
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp,Auto,2015-01-01,2197.2271,2813.2712,1.28,1934.7008,0.881,3038.2742,1.383,5.0,non_multibagger,yfinance (auto_adjust=splits+dividends),True,"role=control; discovery=2W leader flat 2015-2020; entry~2015-01-01; hist 2002-07-01..2026-07-10; 5y_window_complete=True; label_basis=full 5y, realized 5y <1.5x"
UNOMINDA,UNOMINDA.NS,Uno Minda,Auto,2016-01-01,29.3789,157.8535,5.373,197.0193,6.706,215.6685,7.341,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=auto-ancillary compounder; entry~2016-01-01; hist 2007-02-02..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
TIINDIA,TIINDIA.NS,Tube Investments of India,Auto,2018-01-01,261.8434,793.3865,3.03,2773.4763,10.592,3004.5413,11.475,5.0,multibagger_strong,yfinance (auto_adjust=splits+dividends),True,role=winner; discovery=Murugappa platform compounder; entry~2018-01-01; hist 2017-11-02..2026-07-10; 5y_window_complete=True; label_basis=peak reached >=5x within window
