ticker,company,sector,screening_date,screening_price_inr,later_price_inr,later_date,approx_multiple,narrative,notes_source
TITAN.NS,Titan Company,Consumer Discretionary,2010,71,2522,2021,~35x,High consistent ROCE + brand/pricing power in jewellery + formalization tailwind + long re-rating,"Split/bonus-adjusted year-close ~Rs71 (2010) to ~Rs2522 (2021); fincopanda/BusinessToday. Peak ~Rs2790 (2022)."
BAJFINANCE.NS,Bajaj Finance,Financials,2012,13,805,2021,~60x,Consumer-lending franchise; high stable ROE; book-value compounding; multi-year PE/PB re-rating,"Split-adjusted ~Rs13 (2012) to 2021 high ~Rs805; stockpricearchive/Financial Express. NBFC: Altman/ROCE not applicable, judge on ROE/growth/asset quality."
PIDILITIND.NS,Pidilite Industries,Materials,2010,76,880,2020,~11-12x,Fevicol moat + pricing power + high ROCE + FCF compounder + low leverage,"Adjusted ~Rs76 (2010) to ~Rs880 (2020), ~11.6x; stockpricearchive/learnstockmarket (both sources agree on ~11.6x multiple)."
ASIANPAINT.NS,Asian Paints,Materials,2010,256,2674,2020,~10x,Distribution moat + pricing power + consistent high ROCE + steady FCF,"~Rs256 (2010) to ~Rs2674 (2020); stockpricearchive. Classic quality compounder."
EICHERMOT.NS,Eicher Motors,Consumer Discretionary,2011,126,2655,2017,~21x,Royal Enfield turnaround; large operating-margin expansion; brand pricing power; ROCE surge,"~Rs126 (2011) to ~Rs2655 (2017); sen&thil/ACE. Cyclical auto - judge through-cycle."
PAGEIND.NS,Page Industries,Consumer Discretionary,2010,900,18000,2017,~20x (approx),Licensed Jockey brand; very high ROCE; retail expansion; strong FCF; never split (high nominal price),"Approximate: Big Vision cites ~35x 2008-2017; ACE +5349% by Nov-2017 to ~Rs23082. Conservative reference used."
ASTRAL.NS,Astral Ltd,Industrials,2015,50,2000,2021,~40x (approx),CPVC pipe/adhesives leader; high ROCE; brand + distribution; working-capital discipline,"Split/bonus-adjusted approximate; ACE +5437% by Nov-2017. Multiple is an estimate - verify exact adj series in Phase 3."
APLAPOLLO.NS,APL Apollo Tubes,Materials,2016,91,1000,2021,~11x,Structural-steel-tube market leader; volume-led growth; branding + working-capital edge,"~Rs91 (2016) to ~Rs1000 (2021); stockpricearchive. Also ~7.6x in 3y from Aug-2019 (BusinessToday)."
DEEPAKNTR.NS,Deepak Nitrite,Materials,2016,92,2490,2021,~27x,Phenol/acetone import substitution; China+1; ROCE + margin surge; PAT 73% CAGR FY17-21,"~Rs92 (2016) to ~Rs2490 (2021); stockpricearchive/stockedge. Specialty-chem cyclical - watch commodity cycle."
SRF.NS,SRF Ltd,Materials,2016,130,2400,2021,~18x (approx),Fluorochemicals + specialty chem R&D; refrigerants; multi-year ROCE improvement,"Split-adjusted approximate; strong specialty-chem re-rating 2016-2021. Verify exact adj prices in Phase 3."
